Nodes,Percentagem,Edges,Perc_k,k,Result,Basic_Operations,Time,Memory
37,75,500,12.5,4,True,101,0.0019598007202148438,0.0
37,75,500,25,9,False,246536,5.000214099884033,8.37109375
37,75,500,50,18,False,217503,5.000074148178101,1.1015625
37,75,500,75,27,False,191615,5.000093936920166,0.64453125
38,12.5,88,12.5,4,True,3139,0.017497777938842773,0.0
38,12.5,88,25,9,False,640558,5.000184059143066,14.70703125
38,12.5,88,50,19,False,453288,5.0000901222229,3.328125
38,12.5,88,75,28,False,355412,5.000174045562744,1.53125
38,25,176,12.5,4,True,3140,0.022842884063720703,0.0
38,25,176,25,9,False,524922,5.000062942504883,0.609375
38,25,176,50,19,False,389377,5.000072956085205,0.31640625
38,25,176,75,28,False,316507,5.000143766403198,1.390625
38,50,352,12.5,4,True,42,0.0005209445953369141,0.0
38,50,352,25,9,False,372001,5.000155925750732,0.09375
38,50,352,50,19,False,300007,5.0000998973846436,1.9140625
38,50,352,75,28,False,252272,5.000166893005371,33.171875
